,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,Silica Gel,Flinn Scientific Inc,412D,1,1,450.0,g,112926-00-8,Skin and eye irritant
,Silica Gel Sorbent ,Fisher Chemical,412D,1,1,800.0,g,112926-00-8,Skin and eye irritant
,Dehydrated Agar Powder,Fisher Scientific,412D,2,1,250.0,g,9002-18-0,Harmful if ingested/hygroscopic
,Dehydrated Agar Powder,Cynmar Corporation,412D,2,1,250.0,g,9002-18-0,Harmful if ingested/hygroscopic
,Agarose,Bio-Rad Laboratories,412D,2,1,150.0,g,9012-36-6,Skin and eye irritant
,Albumin,Ward's Science,412D,2,1,375.0,g,9006-59-1,
,"Starch, extra pure, potato, powder",Acros Organics,412D,2,1,1.5,kg,9005-25-8,
,D-Fructose,Fisher Science Education,412D,2,2,500.0,g,57-48-7,Skin irritant
,D-Fructose,Ward's Science,412D,2,2,400.0,g,57-48-7,Skin irritant
,"D-Glucose, anhydrous",Carolina,412D,2,3,15.0,g,50-99-7,
,"D-Glucose, anhydrous (packet)",Carolina,412D,2,1,5.0,g,50-99-7,
,Glucose,Ward's Science,412D,2,1,1.5,kg,50-99-7,
,D(+)Maltose,Scholar Chemistry,412D,2,1,250.0,g,6363-53-7,
,Maltose,Glass bottle,412D,2,2,10.0,g,6363-53-7,"Skin, eye, respiratory system irritant. Mucous membrane and upper respiratory tract irritant."
,Maltose Monohydrate,Fisher Chemical,412D,2,1,20.0,g,6363-53-7,"Skin, eye, respiratory system irritant. Mucous membrane and upper respiratory tract irritant."
,Lactose,Flinn Scientific Inc,412D,2,2,500.0,g,63-42-3,
,Lactose Monohydrate (packet),Carolina,412D,2,2,10.0,g,63-42-3,
,Lactose (packet),Carolina,412D,2,1,5.0,g,63-42-3,
,Lactase Enzyme,Ward's Science,412D,2,1,0.1,g,9031-112,"Skin, eye, respiratory irritant"
,Sucrose,Glass bottle,412D,2,2,300.0,g,57-50-1,
,Sucrose (packet),Carolina,412D,2,3,15.0,g,57-50-1,
,Sucrose,Sigma-Aldrich,412D,Floor,1,5.0,kg,57-50-1,
,Sucrose,EMD,412D,Floor,1,200.0,g,57-50-1,
,Sucrose,Ward's Science,412D,Floor,1,1.9,kg,57-50-1,
,Sucrose,Carolina,412D,Floor,1,1.9,kg,57-50-1,
,Ammonium Phosphate Dibasic,Scholar Chemistry,412D,3,1,450.0,g,77893-28-0,Skin and eye irritant
,Potassium Phosphate,Flinn Scientific Inc,412D,3,2,600.0,g,7778-77-0,Skin and eye irritant
,Sodium Phosphate,Flinn Scientific Inc,412D,3,2,650.0,g,7601-54-9,Skin and eye irritant
,Sodium Phosphate,Scholar Chemistry,412D,3,1,250.0,g,7601-54-9,Skin and eye irritant
,"Sodium Phosphate Dibasic, Anhyrous ",Scholar Chemistry,412D,3,1,350.0,g,7558-79-4,Skin and eye irritant
,Sodium Phosphate Dibasic Heptahydrate,Acros Organics,412D,3,1,250.0,g,7782-85-6,Skin and eye irritant
,Sodium Phosphate Monobasic Monohydrate,Acros Organics,412D,3,1,400.0,g,7558-80-7,Skin and eye irritant
,Ammonium Carbonate,Sigma-Aldrich,412D,4,1,50.0,g,506-87-6,"Skin and eye damage, corrosion, or irritation (Category 2, 2B)"
,Calcium Carbonate,Flinn Scientific Inc,412D,4,1,1.5,kg,471-34-1,Body tissue irritant
,Calcium Carbonate,Carolina,412D,4,1,5.0,g,471-34-1,Body tissue irritant
,Calcium Carbonate,Glass bottle,412D,4,12,150.0,g,471-34-1,Body tissue irritant
,Calcium Carbonate-Ammonium Chloride Mixture,Glass bottle,412D,4,1,10.0,g,-,Body tissue irritant
,Calcium Carbonate-Copper Sulfate Mixture,Glass bottle,412D,4,2,20.0,g,-,Body tissue irritant
,Copper (II) Carbonate,Glass bottle,412D,4,7,250.0,g,12069-69-1,"Skin, digestive system, and respiratory track irritant"
,Sodium Bicarbonate-Sodium Carbonate Mixture,Glass bottle,412D,4,1,100.0,g,-,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Sodium Carbonate,Flinn Scientific Inc,412D,4,1,450.0,g,497-19-8,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Sodium Carbonate,Glass bottle,412D,4,3,125.0,g,497-19-8,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Sodium Bicarbonate,Glass bottle,412D,5,8,350.0,g,144-55-8,
,Sodium Bicarbonate,Carolina,412D,4,3,3.4,kg,144-55-8,
,Sodium Bicarbonate,Ward's Science,412D,4,1,40.0,g,144-55-8,
,Activated Charcoal,Glass bottle,412D,5,5,100.0,g,7440-44-0,
,Charcoal/Activated Carbon,Carolina,412D,5,1,350.0,g,7440-44-0,
,Calcium Hydroxide,Glass bottle,412D,6,3,75.0,g,1305-62-0,"Skin irritation, serious eye damage, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard"
,Calcium Oxide,Flinn Scientific Inc,412D,6,1,30.0,g,1305-78-8,"Skin corrosion/irritation, eye damage/irritation, respiratory irritation"
,Calcium Oxide,Glass bottle,412D,6,10,50.0,g,1305-78-8,"Skin corrosion/irritation, eye damage/irritation, respiratory irritation"
,Copper (II) Oxide,Glass bottle,412D,6,6,150.0,g,1317-38-0,"Acute oral and inhalation toxicity, skin corrosion/irritation, eye irritation, chronic aquatic hazard"
,Iron (III) Oxide,Sigma-Aldrich,412D,6,1,50.0,g,1309-37-1,
,Manganese (IV) Oxide,Glass bottle,412D,6,8,100.0,g,1313-13-9,"Oxidizer, organ damage through prolonged or repeated exposure, harmful if swallowed/inhaled"
,Magnesium Oxide Light Powder,Scholar Chemistry,412D,6,1,250.0,g,1309-48-4,
,Potassium Hydroxide,Sigma-Aldrich,412D,6,2,750.0,g,1310-58-3,"Corrosive to metals, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation"
,Potassium Hydroxide,Carolina,412D,6,1,150.0,g,1310-58-3,"Corrosive to metals, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation"
,Sodium Hydroxide,Glass bottle,412D,6,5,175.0,g,1310-73-2,"Corrosive to metals, causes severe skin burns, causes serious eye damage"
,Sodium Hydroxide,Sigma-Aldrich,412D,6,1,700.0,g,1310-73-2,"Corrosive to metals, causes severe skin burns, causes serious eye damage"
,Potassium Phthalate Monobasic,Sigma-Aldrich,412D,6,1,1.0,kg,877-24-7,
,Potassium Hydrogen Phthalate,Glass bottle,412D,6,12,500.0,g,877-24-7,"Potential to cause eye, skin, digestive tract, and respiratory tract irritation. "
,Potassium Hydrogen Phthalate,Flinn Scientific Inc,412D,6,1,150.0,g,877-24-7,"Potential to cause eye, skin, digestive tract, and respiratory tract irritation. "
,Potassium Hydrogen Tartarate,Glass bottle,412D,6,5,450.0,g,877-24-7,"Potential to cause eye, skin, digestive tract, and respiratory tract irritation. "
,Ammonium Sulfate,Sigma-Aldrich,412D,7,1,500.0,g,7783-20-2,Short-term aquatic hazard
,Barium Sulfate,Glass bottle,412D,7,1,75.0,g,7727-43-7,
,Barium Sulfate,Carolina,412D,7,1,300.0,g,7727-43-7,
,Calcium Sulfate,Glass bottle,412D,7,3,200.0,g,7778-18-9,
,Calcium Sulfate Hemihydrate,Carolina,412D,7,1,250.0,g,10034-76-1,
,Copper (II) Sulfate,Glass bottle,412D,7,2,100.0,g,7758-98-7,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Copper (II) Sulfate,Flinn Scientific Inc,412D,7,1,250.0,g,7758-98-7,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Copper (II) Sulfate Pentahydrate,Sigma-Aldrich,412D,7,1,500.0,g,7758-99-8,"Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation"
,Iron (II) Sulfide,Flinn Scientific Inc,412D,7,1,75.0,g,1317-37-9,
,Iron (III) Sulfate,Glass bottle,412D,7,1,75.0,g,15244-10-7,"Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation"
,Iron (III) Sulfate Heptahydrate,Acros Organics,412D,7,1,350.0,g,10028-22-5,"Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation"
