,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,(R)-(-)-Carvone ,Alfa Aesar,412,412C,1,250.0,g,6485-40-1,Flammable,
,(S)-(+)-Carvone,Alfa Aesar,412,412C,2,100.0,g,2244-16-8,Flammable,
,0.1M calcium chloride ,glass bottle ,534,fridge 4,1,50.0,ml,10035 04 8,irritant,
,0.1M Silver Nitrate ,dropper bottle ,534,CU-0,4,1.0,g,dropper bottle,health,
,0.1M sodium chloride ,glass bottle ,534,cs-3-2,1,25.0,g,7647 14 5,irritant,
,0.2% ninhydrin acetone,spray bottle ,534,cs-3-2,1,1.0,g,,health, flammable,
,0.2M copper ii sulfate ,plastic dropper ,534,cs-3-2,1,1.0,g,7758-98-7,toxic, irritant,
,1 5-Diphenylpenta 1 4-dien-one,HD Ark Pharm,412D,Carboxylic Acids,1,50.0,g,35225-79-7,Specific target organ toxicity (single exposure: respiratory tract), skin corrosion/irritation, serious eye damage/irritation,
,1% methylene blue ,dropper bottle ,534,lab benches,7,1.0,g,dropper bottle,nonhazardous,
,1% starch,spray bottle ,534,DB1,1,1.0,g,,needs to be thrown out,
,1-2-Diethoxyethane 98%,Alfa Aesar,412,412C,1,500.0,ml,629-14-1,Flammable,
,1-Bromobutane,Alfa Aesar,412,412C,1,500.0,g,109-65-9,Flammable,
,1-Butanol,Glass jar,412,412C,2,1.0,g,71-36-3,Flammable,
X,1-butanol ,sigma aldrich ,534,BA1,1,500.0,ml,71 36 3,flammable, corrosive, irritant,
,1-Chlorobutane,Alfa Aesar,412,412C,1,250.0,ml,109-69-3,Flammable,
,1-Dodecanol,TCI,412,412C,1,25.0,g,112-53-8,Flammable,
,1-Naphthol,Scholar Chemistry,412D,Organics,3,100.0,g,90-15-3,Acute oral and dermal toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory system),
,1-Naphthol,Glass bottle,412D,Organics,10,50.0,g,90-15-3,Acute oral and dermal toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory system),
